rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
1,1,b,4,4,21,,,,,,,,,jump,ace,ace,a
2,1,b,4,4,12,11,8,in,in,oppo,hit,1,no,jump,kill,kill,b
3,1,a,3,8,12,13,,in,in,quick,off_speed,1,no,float,net,net,a
4,1,b,4,4,,,,out,,,overpass,1,yes,jump,,,b
4,2,a,,,,12,14,,,,tip,1,yes,,,,b
4,3,b,,,,14,8,,,,tip,1,no,,,,b
4,4,a,8,7,13,15,,in,out,outside,tip,2,no,,net,net,b
5,1,a,2,2,12,11,5,in,in,oppo,hit,1,yes,jump,kill,kill,a
6,1,b,8,8,12,15,3,in,in,outside,hit,2,no,float,,,a
6,2,a,3,3,7,26,10,out,in,outside,hit,2,no,,kill,kill,a
7,1,b,8,8,12,14,9,in,in,quick,hit,2,no,float,kill,kill,b
8,1,a,3,3,13,26,6,in,in,outside,hit,2,no,jump,kill,kill,a
9,1,b,9,9,13,11,8,in,in,oppo,hit,2,no,jump,kill,kill,b
10,1,a,3,4,13,6,18,in,in,d-ball,hit,2,yes,jump,tool,tool,a
11,1,b,10,10,13,15,25,in,in,outside,hit,2,yes,jump,tool,tool,b
12,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
13,1,b,,,,,,,,,,,,float,serve_error,serve_error,b
14,1,a,4,4,12,,8,in,dump,dump,dump,1,yes,jump,kill,kill,a
15,1,b,5,5,13,8,,in,in,bic,blocked,3,yes,jump,,,b
15,2,a,14,14,8,15,8,out,in,outside,off_speed,2,yes,,kill,kill,b
16,1,a,9,9,13,14,,in,in,quick,blocked,2,yes,float,net,net,a
17,1,b,2,2,23,,,out,,,,,,jump,ace,ace,a
18,1,b,5,5,14,15,,out,in,outside,blocked,2,yes,jump,kill,kill,a
19,1,b, ,,,,,,,,,,,jump,serve_error,serve_error,b
20,1,a,3,3,13,13,5,in,in,quick,hit,1,yes,jump,kill,kill,a
21,1,b,,,,,,,,,,,,float,serve_error,serve_error,b
22,1,a,2,2,13,8,8,in,in,bic,hit,1,no,jump,kill,kill,a
23,1,b,3,3,14,11,16,out,in,oppo,blocked,2,yes,jump,tool,tool,b
24,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
25,1,b,6,6,12,11,15,in,out,oppo,tip,2,yes,jump,,,b
25,2,a,5,5,19,,,out,out,,free_ball,0,no,,,,b
25,3,b,3,3,13,15,8,in,in,outside,hit,2,no,,kill,kill,b
26,1,a,6,6,12,6,5,in,in,d-ball,hit,0,no,hybrid,kill,kill,a
27,1,b,4,4,,,,out,,,overpass,2,yes,jump,,,a
27,2,a,,,,13,13,,,,tip,1,no,,,,a
27,3,b,8,13,13,14,,in,in,quick,tip,2,no,,hit_error,hit_error,a
28,1,b,3,3,12,6,24,in,in,d-ball,hit,2,yes,jump,tool,tool,b
29,1,a, ,,,,4,,,,,,,jump,ace,ace,b
30,1,a,3,8,12,26,3,in,in,outside,hit,2,no,jump,,,a
30,2,b,3,3,,,,out,,,overpass,0,no,,,,a
30,3,a,4,4,12,12,7,in,dump,d-ball,hit,1,no,,kill,kill,a